,,,,,,,,,,,,,,,,,,,,,Impresso em:,,,,,,,9/1/2025,,,,,,Página 1 de 26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RPP - RELAÇÃO DE PEDIDOS A PRODUZIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,[ ]  Costura,,,,,[ ]  Marcenaria,,,,,,[ ] Estofagem,,,,,,,[ ]  Revisão Final/Emb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedido,,,Cliente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,,,Modelo,,,,,,Obs,,,,,,,,Respons.,,,,,,Cantoneira,,,,Pé,,,,Dt.inicio,,,,,Dt.fim
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11627 ,,BOX GRAN 158x198x28 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11628 ,,BOX GRAN 158x198x28 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11629 ,,BOX GRAN 158x198x28 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11633 ,,BOX GRAN 193x203x28 PP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11634 ,,BOX GRAN 193x203x23 PP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11635 ,,BOX GRAN 193x203x23 PP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11636 ,,BOX GRAN 193x203x28 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11637 ,,BOX GRAN 193x203x28 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11638 ,,BOX GRAN 193x203x28 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11639 ,,BOX GRAN 193x203x23 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640 ,,BOX GRAN 193x203x23 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11641 ,,BOX GRAN 193x203x23 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
